trace,config,instructions,cycles,ipc,l1d_load_misses,prefetch_requested,prefetch_issued,useful_prefetch,useless_prefetch,l2c_prefetch_misses,llc_prefetch_misses,dram_read_requests,dram_write_requests,gate_decisions,gate_suppressed,module_issued
625.x264_s-18B.champsimtrace.xz,official_ip_stride,200000003,137283425,1.4568401320115665,233509,11722728,340775,4044,636,3948,3804,112299,20931,,,
625.x264_s-18B.champsimtrace.xz,raw_stride,200000003,137283425,1.4568401320115665,233509,11722728,340775,4044,636,3948,3804,112299,20931,39521757,0,340775
625.x264_s-18B.champsimtrace.xz,regularity_stride,200000003,137310482,1.456553061986921,233996,9686022,300064,3643,510,3590,3474,112270,20927,39521766,126164,300064
627.cam4_s-573B.champsimtrace.xz,no_l1d_prefetch,200000002,182040415,1.0986571416023194,753444,0,0,0,0,0,0,1029959,963511,,,
627.cam4_s-573B.champsimtrace.xz,official_ip_stride,200000002,181917410,1.0994000079486619,741979,2127762,675023,11372,4637,8899,5942,1032707,963699,,,
627.cam4_s-573B.champsimtrace.xz,raw_stride,200000002,181917410,1.0994000079486619,741979,2127762,675023,11372,4637,8899,5942,1032707,963699,27208623,0,675023
627.cam4_s-573B.champsimtrace.xz,regularity_stride,200000002,181962908,1.0991251140040035,748088,493903,155895,5785,2198,4717,2817,1031350,963616,27207704,298570,155895
628.pop2_s-17B.champsimtrace.xz,no_l1d_prefetch,200000002,181690239,1.100774610131918,3012715,0,0,0,0,0,0,669978,330859,,,
628.pop2_s-17B.champsimtrace.xz,official_ip_stride,200000002,180734514,1.1065955116907,2972535,3192643,306584,15650,7444,17391,12217,671113,330928,,,
628.pop2_s-17B.champsimtrace.xz,raw_stride,200000002,180734514,1.1065955116907,2972535,3192643,306584,15650,7444,17391,12217,671113,330928,38994153,0,306584
628.pop2_s-17B.champsimtrace.xz,regularity_stride,200000002,181412252,1.1024613817152769,2988042,1782617,37122,6064,1097,6300,5485,670706,330961,38997965,122030,37122
631.deepsjeng_s-928B.champsimtrace.xz,no_l1d_prefetch,200000001,209996268,0.9523978826137995,202575,0,0,0,0,0,0,88630,35438,,,
631.deepsjeng_s-928B.champsimtrace.xz,official_ip_stride,200000001,210108295,0.951890076496028,202767,1025511,577697,1045,5352,896,260,88796,35451,,,
631.deepsjeng_s-928B.champsimtrace.xz,raw_stride,200000001,210108295,0.951890076496028,202767,1025511,577697,1045,5352,896,260,88796,35451,40750660,0,577697
631.deepsjeng_s-928B.champsimtrace.xz,regularity_stride,200000001,210037971,0.9522087841916926,203139,133134,120123,316,2784,482,143,88734,35464,40751579,162711,120123
641.leela_s-800B.champsimtrace.xz,no_l1d_prefetch,200000001,203754197,0.9815748776944212,245524,0,0,0,0,0,0,62894,14515,,,
641.leela_s-800B.champsimtrace.xz,official_ip_stride,200000001,203673734,0.9819626570012214,238591,4372972,2411840,17409,9123,4341,3381,63487,14752,,,
641.leela_s-800B.champsimtrace.xz,raw_stride,200000001,203673734,0.9819626570012214,238591,4372972,2411840,17409,9123,4341,3381,63487,14752,43077553,0,2411840
641.leela_s-800B.champsimtrace.xz,regularity_stride,200000001,203518968,0.9827093905075226,242382,1171545,871206,12336,8988,3693,2869,63415,14714,43079527,654835,871206
